"subqh.ph": 0x7C000258
"subqh.w": 0x7C000458
"subqh_r.ph": 0x7C0002D8
"subqh_r.w": 0x7C0004D8
"subs_s.b": 0x78000011
"subs_s.d": 0x78600011
"subs_s.h": 0x78200011
"subs_s.w": 0x78400011
"subs_u.b": 0x78800011
"subs_u.d": 0x78E00011
"subs_u.h": 0x78A00011
"subs_u.w": 0x78C00011
"subsus_u.b": 0x79000011
"subsus_u.d": 0x79600011
"subsus_u.h": 0x79200011
"subsus_u.w": 0x79400011
"subsuu_s.b": 0x79800011
"subsuu_s.d": 0x79E00011
"subsuu_s.h": 0x79A00011
"subsuu_s.w": 0x79C00011
"subu": 0x00200023
"subu.ph": 0x7C000250
"subu.qb": 0x7C000050
"subu_s.ph": 0x7C000350
"subu_s.qb": 0x7C000150
