F3BA0080 vtrn.32
F3B20080 vtrn.8
F2100810 vtst.16
F2200810 vtst.32
F2000810 vtst.8
F3B60100 vuzp.16
F3BA0140 vuzp.32
F3B20100 vuzp.8
F3B60180 vzip.16
F3BA01C0 vzip.32
F3B20180 vzip.8
6320F002 wfe<c>
6320F003 wfi<c>
6320F001 yield<c>
