'vsrh': 0x10000244
'vsro': 0x1000044C
'vsrw': 0x10000284
'vsubcuw': 0x10000580
'vsubfp': 0x1000004A
'vsubsbs': 0x10000700
'vsubshs': 0x10000740
'vsubsws': 0x10000780
'vsububm': 0x10000400
'vsububs': 0x10000600
'vsubuhm': 0x10000440
'vsubuhs': 0x10000640
'vsubuwm': 0x10000480
'vsubuws': 0x10000680
'vsum2sws': 0x10000688
'vsum4sbs': 0x10000708
'vsum4shs': 0x10000648
'vsum4ubs': 0x10000608
'vsumsws': 0x10000788
'vupkhpx': 0x1000034E
'vupkhsb': 0x1000020E
'vupkhsh': 0x1000024E
'vupklpx': 0x100003CE
'vupklsb': 0x1000028E
'vupklsh': 0x100002CE
'vxor': 0x100004C4
'wait': 0x7C00007C
'waitimpl': 0x7C40007C
'waitrsv': 0x7C20007C
'wrtee': 0x7C000106
'wrteei': 0x7C000146
'xnop': 0x68000000
'xor': 0x7C000278
'xor.': 0x7C000279
'xori': 0x68000001
'xoris': 0x6C000000
'xsabsdp': 0xF0000564
'xsadddp': 0xF0000100
'xscmpodp': 0xF0000158
'xscmpudp': 0xF0000118
'xscpsgndp': 0xF0000580
'xscvdpsp': 0xF0000424
